[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0000288 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000377 seconds, Stopping threads took: 0.0000114 seconds
[2020-05-23T06:00:04.506+0000][364][safepoint    ] Application time: 0.0001035 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000521 seconds, Stopping threads took: 0.0000125 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Application time: 0.0000323 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000445 seconds, Stopping threads took: 0.0000113 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Application time: 0.0002721 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000560 seconds, Stopping threads took: 0.0000123 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Application time: 0.0000332 seconds
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.507+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000518 seconds, Stopping threads took: 0.0000110 seconds
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Application time: 0.0006370 seconds
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000752 seconds, Stopping threads took: 0.0000186 seconds
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Application time: 0.0000559 seconds
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.508+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000584 seconds, Stopping threads took: 0.0000130 seconds
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Application time: 0.0005491 seconds
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000808 seconds, Stopping threads took: 0.0000185 seconds
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Application time: 0.0005441 seconds
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.509+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000658 seconds, Stopping threads took: 0.0000170 seconds
[2020-05-23T06:00:04.551+0000][364][safepoint    ] Application time: 0.0420383 seconds
[2020-05-23T06:00:04.551+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:04.552+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:04.552+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001501 seconds, Stopping threads took: 0.0000214 seconds
[2020-05-23T06:00:05.212+0000][364][safepoint    ] Application time: 0.6607321 seconds
[2020-05-23T06:00:05.212+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:05.212+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:05.212+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000834 seconds, Stopping threads took: 0.0000143 seconds
[2020-05-23T06:00:05.228+0000][364][safepoint    ] Application time: 0.0157985 seconds
[2020-05-23T06:00:05.228+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:05.228+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:05.228+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000656 seconds, Stopping threads took: 0.0000167 seconds
[2020-05-23T06:00:06.228+0000][364][safepoint    ] Application time: 1.0000903 seconds
[2020-05-23T06:00:06.234+0000][364][safepoint    ] Entering safepoint region: Cleanup
[2020-05-23T06:00:06.234+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.234+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0053248 seconds, Stopping threads took: 0.0052397 seconds
[2020-05-23T06:00:06.302+0000][364][safepoint    ] Application time: 0.0678656 seconds
[2020-05-23T06:00:06.302+0000][364][safepoint    ] Entering safepoint region: GenCollectForAllocation
[2020-05-23T06:00:06.302+0000][364][gc,start     ] GC(0) Pause Young (Allocation Failure)
[2020-05-23T06:00:06.302+0000][364][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
